headword,pet_dict,pet_old,pet_new,mw_old,mw_new,in_pwgissues
dakziRAvft,pwg,"<ls>ŚAT. BR. 7,1,1,13. 31. 6,4,3,5. 8,7,2,5. 13.</ls>","<ls>ŚAT. BR. 7,1,1,13.</ls> <ls n=""ŚAT. BR. 7,1,1,"">31.</ls> <ls n=""ŚAT. BR."">6,4,3,5.</ls…","<s>dakziRA—vf/t</s> ¦ <lex>mfn.</lex> turning or going round to the right, <ls n=""RV."">i, …","<s>dakziRA—vf/t</s> ¦ <lex>mfn.</lex> turning or going round to the right, <ls n=""RV."">i, …",True
deva,pwg,"<ls n=""VS."">7,66,14.</ls> {#de\vI de\vyAmaDi^ jA\tA pf^Ti\vyAma^syozaDe#}","<ls n=""ṚV."">7,66,14.</ls> {#de\vI de\vyAmaDi^ jA\tA pf^Ti\vyAma^syozaDe#}","(H1) [Printed book page 492,2] deva mf(ī)n. (fr. 3. div) <!!!>heavenly, divine (<!!!>also …",Jim 2nd test of 12-27-2020. No change required,False
devadatta,pwg,"<ls>PAÑCAT. 36,2. 15.</ls>","<ls>PAÑCAT. 36,2.</ls> <ls n=""PAÑCAT. 36,"">15.</ls>",devadatta,devadattA,False
dhā,pw,— 6) °yavahita,— 6) vyavahita,dhitsya See s.v.,dhitsya see s.v.,False
diS,pwg,"<ls n=""SĀH. D."">23,22. 24,9.</ls> {#diNmAtram#}","<ls n=""SĀH. D."">23,22.</ls> <ls n=""SĀH. D."">24,9.</ls> {#diNmAtram#}",diso 'ntāt,diśo 'ntāt,False
dra,pw,¯Av.,¯AV.,kriṣṇa-,kṛṣṇa-,False
druh,pw,¯SPR.1373.,¯Spr.1373.,"druh cl. 4. P. dru/hyati (ep. and metr. also Ā. °te), Br. ; MBh. ; R. <!!!>","(pf. dudro/ha,",False
duh,pwg,(<ls>ŚAT. BR.).</ls>,(<ls>ŚAT. BR.</ls>).,3/ sg. duhām,3 sg. duhām,False
durbali,pw,"{#durbali#} und {#°ka#}¦ <lex>m.</lex> {%ein <ab>best.</ab> Vogel%} <ls>VARĀH. BṚH. S. 88,…","{#durbali#} und {#°ka#}¦ <lex>m.</lex> {%ein <ab>best.</ab> Vogel%} <ls>VARĀH. BṚH. S. 88,…","<s>dur—bali</s>, <lex>m.</lex> (<ls>VarBṛS. lxxxviii, 88, 28</ls> <ab>v.l.</ab> <s>°la</s>…","<s>dur—bali</s>, <lex>m.</lex> (<ls>VarBṛS. lxxxviii, 28</ls> <ab>v.l.</ab> <s>°la</s>) & …",True
durga,pwg,"<ls>TS. 6,2,4,2. 3.</ls>","<ls>TS. 6,2,4,2.</ls> <ls n=""TS. 6,2,4,"">3.</ls>",citadel stronghold,"citadel, stronghold",False
gadgadasvara,pw,¯BENF.CHR.,¯BENF.Chr.,"¦ <ab>N.</ab> of a <s1>Bodhi-sattva</s1>, <ls>SaddhP. xxiii.</ls><info lex=""inh""/>","¦ <ab>N.</ab> of a <s1>Bodhisattva</s1>, <ls>SaddhP. xxiii.</ls><info lex=""inh""/>",False
gaja,pw,¯Vp2.,¯VP.².,,,False
gam,pwg,<ls>MĀRK. P. 22. 46.</ls> {#prakASaM nirgataH#},"<ls>MĀRK. P. 22,46.</ls> {#prakASaM nirgataH#}",,,False
go,pwg,"<ls>ŚAT. BR. 2,4,3,13. 3,1,2,13. 4,5,5,10. 14,1,1,32.</ls> {#gAva^ u\kzaRa^H#}","<ls>ŚAT. BR. 2,4,3,13.</ls> <ls n=""ŚAT. BR."">3,1,2,13.</ls> <ls n=""ŚAT. BR."">4,5,5,10.</ls…",gavāṃ vrata N. of a Sāman; gavāṃ tīrtha See go t°;,"gavāṃ vrata, N. of a Sāman; gavāṃ tīrtha, see go t°;",False
gocara,pw,"<div n=""2"">— b〉 {%dem Auge zugänglich, sinnlich wahrnehmbar%} <ls>MBH. 13,17,33. 91,24</ls…","<div n=""2"">— b〉 {%dem Auge zugänglich, sinnlich wahrnehmbar%} <ls>MBH. 13,17,33.</ls> <ls …",H-code of H3,Change to H-code of H3A,False
gopITa,pwg,"<ls>TS. 2,5,1,7. 6,3,6. 6,6.</ls> {#gopITAya jagatsfzweH#}","<ls>TS. 2,5,1,7.</ls> <ls n=""TS. 2,"">6,3,6.</ls> <ls n=""TS. 2,6,"">6,6.</ls> {#gopITAya jag…","<L>67289<pc>365,3<k1>gopITa<k2>go—pITa/<e>3","<L>67289<pc>365,3<k1>gopITa<k2>go—pITa/<h>1<e>3",True
granTa,pwg,"<ls>VARĀH. BṚH. S. 1,2. 2,2. 24,3. 106,1. 6.</ls> {#granTAnnEvAByasedbahUn#}","<ls>VARĀH. BṚH. S. 1,2.</ls> <ls n=""VARĀH. BṚH. S."">2,2.</ls> <ls n=""VARĀH. BṚH. S."">24,3.…","(of, Kath.)",(of Kath.) -- no comma,False
hA,pwg,"<ls n=""Spr. (II)"">458.</ls> <ls>ŚĀK. 194, v. l.</ls> <ls>MĀLAV. 79.</ls> <ls>KATHĀS. 65,52…","<ls n=""Spr. (II)"">458.</ls> <ls>ŚĀK. 194, v. l.</ls> <ls>MĀLAV. 79.</ls> <ls>KATHĀS. 65,52…","<hom>3.</hom> <s>hA</s> ¦ <ab>cl.</ab> 3. <ab>P.</ab> (<ls>Dhātup. xxv, 8</ls>) <s>ja/hAti…","<hom>3.</hom> <s>hA</s> ¦ <ab>cl.</ab> 3. <ab>P.</ab> (<ls>Dhātup. xxv, 8</ls>) <s>ja/hAti…",False
hAlAhala,pw,¯Ra7g4an.,¯RA7G4AN.,panic.,"<ab n=""particular"">partic.</ab>",False
haMsapAda,pw,¯VP².,¯VP.²,haMsapAda,haMsapAdA,False
hala,pwg,"<ls>VARĀH. BṚH. S. 58,36. 69,17. 70,2. 86,46.</ls>","<ls>VARĀH. BṚH. S. 58,36.</ls> <ls n=""VARĀH. BṚH. S."">69,17.</ls> <ls n=""VARĀH. BṚH. S."">7…","halī a (ā), f. Methonica Superba","halī, f. Methonica Superba",False
han,pwg,"<ls>SĀH. D. 219,4. 17.</ls> — {#CalAhata#}","<ls>SĀH. D. 219,4.</ls> <ls n=""SĀH. D. 219,"">17.</ls> — {#CalAhata#}",°nire Subj.,"°nire, Subj.",False
harimIqe,pw,¯BURNELL.T.,"¯BURNELL,T.",(a) n.,Remove <lex>n.</lex> from this head word. Add a n. hw harimIqe-stotra,False
hasta,pwg,"<ls>TBR. 1,5,2,2. 3,1,1,9.</ls>","<ls>TBR. 1,5,2,2.</ls> <ls n=""TBR."">3,1,1,9.</ls>","¦ the fore-arm (a measure of length from the elbow to the tip of the middle finger, = 24 <…","¦ the forearm (a measure of length from the elbow to the tip of the middle finger, = 24 <s…",False
hima,pwg,"<ls>RĀJA-TAR. 1,179. 186. 2,138. 3,138.</ls> {#himenEva himaM SAmyet#}","<ls>RĀJA-TAR. 1,179.</ls> <ls n=""RĀJA-TAR. 1,"">186.</ls> <ls n=""RĀJA-TAR."">2,138.</ls> <ls…",Lit. $,Lit. żëmà,False
hiṃs,pw,— Desid. jihiṃsiṣati verletze u.s.w. wollen.,— Desid. jihiṃsiṣati verletzen u.s.w. wollen.,hiṃsita Gr.,"hiṃsitā, Gr.",False
hā,pw,"— m) Etwas los werden , sich befreien von entgehen.","— m) Etwas los werden , sich befreien von , entgehen.","hī́yam, TS.","-hī́yam, TS.",False
i,pwg,<ls>SĀH. D. 11. 3.</ls> {#yayA pratyAyyate#},"<ls>SĀH. D. 11.</ls> <ls n=""SĀH. D."">3.</ls> {#yayA pratyAyyate#}",HTML display,,False
ikzukARqa,pw,¯SPR.2219.,¯Spr.2219.,<s>ikzu—kARqa/</s> ¦ <lex>n.</lex> the stem or cane of the <bot>Saccharum Officinale</bot>…,<s>ikzu—kARqa/</s> ¦ <lex>n.</lex> the stem or cane of the <bot>Saccharum Officinale</bot>…,False
ikzuka,pw,¯VP.^2,¯VP.²,"<s>ikzuka</s> ¦ <lex>m.</lex> sugar-cane, <ls>Suśr.</ls><info lex=""m""/>","<s>ikzuka</s> ¦ <lex>m.</lex> sugarcane, <ls>Suśr.</ls><info lex=""m""/>",False
iq,pwg,"<ls n=""ŚAT. BR."">4,3. 6,1,8.</ls> Als pl. ist es nach diesen Vorgängen auch","<ls n=""ŚAT. BR. 1,5,"">4,3. 6,1,8.</ls> Als pl. ist es nach diesen Vorgängen auch",inst.,<ab>inst.</ab>,False
iti,pwg,"<ls n=""ŚAT. BR."">14,9,3,1</ls> (= <ls>BṚH. ĀR. UP. 6,3,1</ls>). <ls n=""ŚAT. BR."">2,4,2,18.…","<ls n=""ŚAT. BR."">14,9,3,1</ls> (= <ls>BṚH. ĀR. UP. 6,3,1</ls>). <ls n=""ŚAT. BR."">2,4,2,18.…",(e.g. ijyādhyayanadānāni tapaḥ satyaṃ kṣamā damaḥ . alobha iti mārgo 'yam,"I think a "";"" would be more appropriate than the period/dot and anyway the blank before it…",False
jYA,pwg,"<ls>VS. 18,59. 60.</ls> {#sarva\M tada^gne sukf\tasya^ lo\ke jAnI\tAnna^H sa\Mgama^ne paTI…","<ls>VS. 18,59.</ls> <ls n=""VS. 18,"">60.</ls> {#sarva\M tada^gne sukf\tasya^ lo\ke jAnI\tAn…",<ab>Subj.</ab> <s>°nat</s>;,<ab>Subj.</ab> <s>°nA/t</s>;,False
jalpa,pwg,"<ls>NYĀYAS. 1,42.</ls> <ls>COLEBR. Misc. Ess. I,293.</ls> <ls>MADHUS.</ls> in <ls>Ind. St.…","<ls>NYĀYAS. 1,42.</ls> <ls>COLEBR. Misc. Ess. I,293.</ls> <ls>MADHUS.</ls> in <ls>Ind. St.…","<s>jalpa</s> ¦ <lex>n.</lex> for <s>°lpya</s>, <ls>MBh. i, 5066 (<ab>C</ab>)</ls>; <ls>R. …","<s>jalpa</s> ¦ <lex>n.</lex> for <s>°lpya</s>, <ls>MBh. i, 5066</ls> (<ab>C</ab>); <ls>R. …",True
jan,pwg,"<ls n=""VS."">10,41,4.</ls> {#tasmA\ ara^M gamAma vo\ yasya\ kzayA^ya\ jinva^Ta . Apo^ ja\na…","<ls n=""ṚV."">10,31,4.</ls> {#tasmA\ ara^M gamAma vo\ yasya\ kzayA^ya\ jinva^Ta . Apo^ ja\na…","<div n=""vp""/> <ab>cl.</ab> 4. <s>jA/yate</s> (<lang>ep.</lang> also <s>°ti</s>; <ab>impf.<…","<div n=""vp""/> <ab>cl.</ab> 4. <s>jA/yate</s> (<lang>ep.</lang> also <s>°ti</s>; <ab>impf.<…",False
jaqa,pwg,"<ls>MĀRK. P. 10,9. S. 100. 128. 129. 131.</ls> N. pr. <is>gaṇa</is> {#aSvAdi#} zu <ls>P. 4…","<ls>MĀRK. P. 10,9.</ls> <ls n="""">S. 100. 128. 129. 131.</ls> N. pr. <is>gaṇa</is> {#aSvAdi…",jalhu,ja|u,False
jas,pw,"²1) ñasate erschöpft ,","²1) jasate erschöpft ,","cf. uj-, ni-;",cf. uj-;,False
jihvAlOlya,pwg,"<ls>PAÑCAT. 62,22. 105,8. II,3.</ls>","<ls>PAÑCAT. 62,22.</ls> <ls n=""PAÑCAT."">105,8.</ls> <ls n=""PAÑCAT."">II,3.</ls>","<s>jihvA—lOlya</s> ¦ <lex>n.</lex> greediness, <ls>Pañcat. i., f.</ls><info lex=""n""/>","<s>jihvA—lOlya</s> ¦ <lex>n.</lex> greediness, <ls>Pañcat. i.</ls> f.<info lex=""n""/>",True
jina,pwg,<ls>LALIT. 111.</ls> u.s.w. <ls>BURN. Intr. 187. 189. 204. 381. 628.</ls> <ls>Lot. de la b…,<ls>LALIT. 111.</ls> u.s.w. <ls>BURN. Intr. 187. 189. 204. 381. 628.</ls> <ls>Lot. de la b…,"¦ of a <s1>Bodhi-sattva</s1><info lex=""inh""/>","¦ of a <s1>Bodhisattva</s1><info lex=""inh""/>",False
jñā,pw,"Mit vi …… LB — 1) …… LB Etwas in Etwas (Loc.) erkennen , — sehen , wissen ,","Etwas in Etwas (Loc.) [i]erkennen , — sehen , wissen ,[/i]",°nāná irr. °namāna,"°nāná, irr. °namāna",False
kAjala,pw,¯K4ARKA.,¯K4ARAKA.,,"""Caraka, vi, 2."" should be in reference, but the hyperlink is missing",False
kAkola,pw,¯SPR.7809.,¯Spr.7809.,Cocculus indicus,<bot>Cocculus indicus</bot>,False
kAla,pwg,"<ls n=""ŚAT. BR."">4,5,1,16.</ls> <ls>KĀTY. ŚR. 10,5,14.</ls> <ls n=""KĀTY. ŚR."">25,7,2.</ls>…","<ls n=""ŚAT. BR."">4,5,1,16.</ls> <ls>KĀTY. ŚR. 10,5,14.</ls> <ls n=""KĀTY. ŚR."">25,7,2.</ls>…",Plumbago,<bot>Plumbago</bot>,False
kAlaka,pwg,"<ls>VARĀH. BṚH. S. 79,32. 35. 37.</ls>","<ls>VARĀH. BṚH. S. 79,32.</ls> <ls n=""VARĀH. BṚH. S. 79,"">35.</ls> <ls n=""VARĀH. BṚH. S. 7…",1 kAlakA and 25 kAlikA miscoded as kAlaka,Change headword spelling; change lex codes from m. to f.,False
kAlamUla,pw,¯Ra7g4an.,¯RA7G4AN.,kAlamUla,kAlamUla,False
kAnta,pwg,Fühling,Frühling,Piper aurantiacum,<bot>Piper aurantiacum</bot>,False
kUrma,pwg,"<ls>AV. 9,4,16</ls> (vgl.","<ls>AV. 9,4,16</ls>",kUrma,kUrmI,False
ka,pwg,"<ls>VS. 7,29. 48.</ls>","<ls>VS. 7,29.</ls> <ls n=""VS. 7,"">48.</ls>",Examples of cid with the interrogative are common vā and api are not so common,Examples of cid with the interrogative are common; vā and api are not so common,False
kaTam,pwg,"<ls>RĀJA-TAR. 5,134. 318. 415.</ls> {#kaTaMcidapi jIvantIm#}","<ls>RĀJA-TAR. 5,134.</ls> <ls n=""RĀJA-TAR. 5,"">318.</ls> <ls n=""RĀJA-TAR. 5,"">415.</ls> {#…","MftyuH ,",no comma,False
kalA,pwg,"<ls>SĀH. D. 33,7. 6. 1,15. 35,12.</ls>","<ls>SĀH. D. 33,7.</ls> <ls n=""SĀH. D. 33,"">6.</ls> <ls n=""SĀH. D."">1,15.</ls> <ls n=""SĀH. …",¦ a designation of the three constituent parts of a sacrifice (<ab>viz.</ab> <s>mantra</s>…,¦ a designation of the three constituent parts of a sacrifice (<ab>viz.</ab> <s>mantra</s>…,True
kalpa,pwg,"<ls>ŚAT. BR. 9. 3,3,12.</ls>","<ls>ŚAT. BR. 9,3,3,12.</ls>",the Kalpas.are not of equal,the Kalpas are not of equal,False
karRikAra,pw,¯HMA7DRI.,¯HEMA7DRI.,Cathartocarpus fistula,<bot>Cathartocarpus fistula</bot>,False
karawa,pwg,"<ls>VARĀH. BṚH. S. 61,2. 6.</ls>","<ls>VARĀH. BṚH. S. 61,2.</ls> <ls n=""VARĀH. BṚH. S. 61,"">6.</ls>","<s>karawa</s> ¦ <lex>mfn.</lex> dark-red, <ls>VarBṛS. 61, 2</ls>; <ls n=""VarBṛS. 61,"">6.</…","<s>karawa</s> ¦ <lex>mfn.</lex> dark-red, <ls>VarBṛS. lxi, 2</ls>; <ls n=""VarBṛS. lxi,"">6.…",True
karka,pw,¯Av.,¯AV.,,,False
karkari,pw,¯SPR.622.,¯Spr.622.,karkarī ī,(ī),False
karman,pwg,"<ls>VS. 3,47. 34,2. 3.</ls> {#yaTASf^Ro\ratre\H karmA^Ri kfRva\taH#}","<ls>VS. 3,47.</ls> <ls n=""VS."">34,2.</ls> <ls n=""VS. 34,"">3.</ls> {#yaTASf^Ro\ratre\H karm…","or of the form only, <ab>e.g.</ab> <s>suvarRaM kuRqalaM karoti</s>, ‘he fashions gold into…","or of the form only, <ab>e.g.</ab> <s>suvarRaM kuRqalaM karoti</s>, ‘he fashions gold into…",False
katham,pw,"kthaṃ kathaṃ cid dass. Naiṣ.6,57.","kathaṃ kathaṃ cid dass. Naiṣ.6,57.",katkaM nu,kathaM nu,False
kazwa,pwg,"<ls>PAÑCAT. II,187.</ls> <ls n=""PAÑCAT. II,"">144,25.</ls> <ls n=""PAÑCAT. II,"">195,16.</ls>…","<ls>PAÑCAT. II,187.</ls> <ls n=""PAÑCAT."">144,25.</ls> <ls n=""PAÑCAT."">195,16.</ls> {#Digar…",kazwa n. H1B,kazwam ind. H1C,False
kilikila,pw,¯VP.^2,¯VP.²,kilikila,kilikilA,False
kowa,pw,¯VA7RTT.,¯Va7rtt.,kowa,kowA,False
krI,pwg,"<ls>TS. 2,1,2,7. 2,10,4.</ls> {#tenE\vEnA^ma\gneraDi\ nira^krIRAt#}","<ls>TS. 2,1,2,7.</ls> <ls n=""TS. 2,"">2,10,4.</ls> {#tenE\vEnA^ma\gneraDi\ nira^krIRAt#}","क्री1. क्री cl. 9. P. Ā. क्रीणाति, क्रीणीते (fut. p. क्रेष्यत्, Lāṭy.; <!!!>ind.p. क्रीवा<…",ind. p. क्रीत्वा,False
kuRqala,pwg,"<ls>MĀRK. P. 21,34. 61.</ls>","<ls>MĀRK. P. 21,34.</ls> <ls n=""MĀRK. P. 21,"">61.</ls>",Cocculus cordifolius,<bot>Cocculus cordifolius </bot>,False
kva,pwg,"<ls>ŚAT. BR. 3,8,2,25. 1,2,5,9. 14,4,1,9. 5,1,16.</ls> {#kvAhaM BavAni#} {%was soll mit mi…","<ls>ŚAT. BR. 3,8,2,25.</ls> <ls n=""ŚAT. BR."">1,2,5,9.</ls> <ls n=""ŚAT. BR."">14,4,1,9.</ls>…","<!!!>kva cid = kasminiS-cid, Pañcat<!!!>. [ID=58684.26] anywhere, somewhere, to any place,…","kva cid = kasmiMS-cid, Pañcat",False
kzaRa,pwg,"<ls>RĀJA-TAR. 5,165. 337.</ls> {#kzaRamAtram#} {%nur einen Augenblick%}","<ls>RĀJA-TAR. 5,165.</ls> <ls n=""RĀJA-TAR. 5,"">337.</ls> {#kzaRamAtram#} {%nur einen Augen…",eRa,ena (kzaRena),False
kzaya,pwg,"<ls>MĀRK. P. 30,25. 31,20.</ls>","<ls>MĀRK. P. 30,25.</ls> <ls n=""MĀRK. P."">31,20.</ls>","page 1325,3] the accent is on the last syllable in the sense ‘destruction’, <!!!>accord, t…","accord. to Pāṇ. iii, 3, 56",False
kāla,pw,"— 9) Endpunct. kālaṁ gacchati LB — 12) die Alles vernichtende Zeit , der Tod. kālam ā i LB","— 9) [italics]Endpunct.[/italics] kālaṁ gacchati LB — 12) die Alles vernichtende Zeit , de…",meal-time,mealtime,False
lap,pwg,"<ls>SĀH. D. 124,5. 6.</ls> {#rAjadeyamapalapitam#} {%unterschlagen%}","<ls>SĀH. D. 124,5.</ls> <ls n=""SĀH. D. 124,"">6.</ls> {#rAjadeyamapalapitam#} {%unterschlag…","Westergaard Dhatupatha links: 10.8 AND (Dhātup. x, 8)","Westergaard Dhatupatha links: 11.8 AND (Dhātup. xi, 8)",False
lip,pwg,"<ls>KĀM. NĪTIS. 7,49.</ls> <ls>ŚIŚ. 9,15.</ls> <ls>Spr. 2478.</ls> <ls>KATHĀS. 40,2.</ls> …","<ls>KĀM. NĪTIS. 7,49.</ls> <ls>ŚIŚ. 9,15.</ls> <ls>Spr. 2478.</ls> <ls>KATHĀS. 40,2.</ls> …",leliyate,lelipyate,False
lok,pwg,"<ls n=""MĀRK. P."">68,16. 25.</ls>","<ls n=""MĀRK. P."">68,16.</ls> <ls n=""MĀRK. P. 68,"">25.</ls>",-lokitum,lokitum,False
loka,pwg,"<ls n=""VS."">12,35. 18,52. 58</ls>) auch {#u#} erhalten hat. Dieser Umstand führt auf die V…","<ls n=""VS."">12,35.</ls> <ls n=""VS."">18,52.</ls> <ls n=""VS. 18,"">58</ls>) auch {#u#} erhalt…","men (as opp. to ‘women’), Vet.; Hit. [ID=183237] a company, community (<!!!>of ten ifc.<!!…",often ifc. (remove space),False
lup,pwg,"<ls>MĀRK. P. 20,55. 134,22. 135,26.</ls> {#lupta#} {%unterdrückt, verschwunden, zu Nichte …","<ls>MĀRK. P. 20,55.</ls> <ls n=""MĀRK. P."">134,22.</ls> <ls n=""MĀRK. P."">135,26.</ls> {#lup…","<div n=""vp""/> <s>lolupyate</s> = <s>garirhitaM lumpati</s>, <ls>Pāṇ. iii, 1, 24</ls>;","<div n=""vp""/> <s>lolupyate</s> = <s>garhitaM lumpati</s>, <ls>Pāṇ. iii, 1, 24</ls>;",False
mA,pwg,"<ls>SĀH. D. 121,6. 122,18. 155,7.</ls>","<ls>SĀH. D. 121,6.</ls> <ls n=""SĀH. D."">122,18.</ls> <ls n=""SĀH. D."">155,7.</ls>",ripur ayam mAjAyatAm + mAtvAM zapsye + mAjIvanyo duHkhadagdho jIvati +,ripur ayam mA jAyatAm + mA tvAM zapsye + mA jIvan yo duHkhadagdho jIvati + maIvam prArthya…,False
mADavIya,pw,¯BURNELL.T.,"¯BURNELL,T.",mADavIya,mADavIyA,False
mAtra,pwg,"<ls>MĀRK. P. 23,35. 37.</ls> {#BUyasyA mAtrayA#} {%in stärkerem Maasse%}","<ls>MĀRK. P. 23,35.</ls> <ls n=""MĀRK. P. 23,"">37.</ls> {#BUyasyA mAtrayA#} {%in stärkerem …",having the measure of i.e. as large,"having the measure of, i.e. as large [missing comma]",False
maDura,pw,¯PAT. ‹zu› ¯P.,¯PAT.zuP.,maDura,maDurI,False
mahAnagna,pw,¯Burn.Intr.363.,¯BURN.Intr.363.,mahAnagna,mahAnagnA,False
man,pwg,"<ls n=""MṚCCH."">116,2.</ls> <ls>KĀM. NĪTIS. 13,67. 74. 17,33.</ls> <ls>Spr. 2139.</ls> <ls …","<ls n=""MṚCCH."">116,2.</ls> <ls>KĀM. NĪTIS. 13,67. 74. 17,33.</ls> <ls>Spr. 2139.</ls> <ls …",tfRaya,tfRAya,False
manas,pwg,"<ls n=""VS."">6,15. 11,66.</ls> <ls>AIT. BR. 2,5.</ls> <ls n=""AIT. BR."">5,23.</ls> <ls>ŚAT. …","<ls n=""VS."">6,15.</ls> <ls n=""VS."">11,66.</ls> <ls>AIT. BR. 2,5.</ls> <ls n=""AIT. BR."">5,2…",6 with,With not part of ls,False
manu,pwg,"<ls>TS. 1,7,1,3. 2,5,9,1. 6,7,1. 3,3,2,1. 5,4,10,5. 6,6. 6,1.</ls>","<ls>TS. 1,7,1,3.</ls> <ls n=""TS."">2,5,9,1.</ls> <ls n=""TS. 2,"">6,7,1.</ls> <ls n=""TS."">3,3…","as the brother of Yama, who as a son of HE Sun is also called Vaivasvata",son of THE Sun,False
manvantara,pwg,"<ls n=""M. 1,"">80.</ls> <ls>YĀJÑ. 3,173.</ls> <ls>MBH. 3,186.</ls> <ls>HARIV. 406. fgg.</ls…","<ls n=""M. 1,"">80.</ls> <ls>YĀJÑ. 3,173.</ls> <ls>MBH. 3,186.</ls> <ls>HARIV. 406. fgg.</ls…",<s>manv—antara</s> ¦ <lex>n.</lex> the period or age of a <s1>Manu</s1> (it comprises abou…,<s>manv—antara</s> ¦ <lex>n.</lex> the period or age of a <s1>Manu</s1> (it comprises abou…,False
mi,pwg,"<ls>TS. 5,2,6,2. 3.</ls>","<ls>TS. 5,2,6,2.</ls> <ls n=""TS. 5,2,6,"">3.</ls>",memayīte,memayīti,False
muc,pwg,<ls>VS. 2. 30.</ls> {#varRa^m#},"<ls>VS. 2,30.</ls> {#varRa^m#}",Intens. momucyate or monokti,Intens. momucyate or momokti,False
mud,pwg,"<ls>MBH. 3,2230.</ls> <ls n=""MBH. 3,"">2234.</ls> <ls n=""MBH. 3,"">3004.</ls> <ls n=""MBH. 3,…","<ls>MBH. 3,2230.</ls> <ls n=""MBH. 3,"">2234.</ls> <ls n=""MBH. 3,"">3004.</ls> <ls n=""MBH. 3,…",mumudithate,mumudiṣate,False
muz,pwg,"<ls>RĀJA-TAR. 5,268. 168.</ls> {#taTEvAnuniSaM koSamamuzRAtsa ca BUpateH#} {%bestehlen%}","<ls>RĀJA-TAR. 5,268.</ls> <ls n=""RĀJA-TAR. 5,"">168.</ls> {#taTEvAnuniSaM koSamamuzRAtsa ca…",nom. mut,nom. muṭ,False
mīl,pw,— Mit ud Caus. dass. LB — 1) (die Augen öffnen. unmīlita die Augen öffnend.,— Mit ud LB — 1) die Augen öffnen. unmīlita die Augen öffnend.,memīyate,memīlyate,False
nAgakumAra,pw,¯Ra7g4an.,¯RA7G4AN.,nAgakumAra,nAgakumArI,False
nij,pwg,"<ls>ŚAT. BR. 13,4,2,1. 5,1,16.</ls> {#apsu niktvA taRqulAn#}","<ls>ŚAT. BR. 13,4,2,1.</ls> <ls n=""ŚAT. BR. 13,"">5,1,16.</ls> {#apsu niktvA taRqulAn#}","<div n=""vp""/> <ab>cl.</ab> 3. <ab>P.</ab> <ab>Ā.</ab> <s>nenekti</s>, <s>nenikte</s> (<ab>…","<div n=""vp""/> <ab>cl.</ab> 3. <ab>P.</ab> <ab>Ā.</ab> <s>nenekti</s>, <s>nenikte</s> (<ab>…",False
nu,pwg,"<ls>ŚAT. BR. 1,2,5,9. 3,1,26.</ls> — {#kaM nu pfcCAmi#}","<ls>ŚAT. BR. 1,2,5,9.</ls> <ls n=""ŚAT. BR. 1,"">3,1,26.</ls> — {#kaM nu pfcCAmi#}","<hom>4.</hom> <s>nu</s> or <s>nU</s> ¦ <ab>cl.</ab> 2. 6. <ab>P.</ab> (<ls>Dhāt. xxiv, 26<…","<hom>4.</hom> <s>nu</s> or <s>nU</s> ¦ <ab>cl.</ab> 2. 6. <ab>P.</ab> (<ls>Dhāt. xxiv, 26<…",False
pAwa,pw,¯BIG4AG.,¯BI7G4AG.,turAtkara,turotkara (o<srs/>),False
pIvara,pw,¯Vp.,¯VP.,m. N. of a daughter of the गन्धर्व हुहु Kathās.,pIvarA - f. - N. of a daughter of the गन्धर्व हुहु Kathās.00,False
pORqra,pwg,"<ls>ŚABDAR.</ls> im <ls>ŚKDR.</ls> <ls>MBH. 1,6684.</ls> <ls n=""MBH."">6,365</ls> (<ls>VP. …","<ls>ŚABDAR.</ls> im <ls>ŚKDR.</ls> <ls>MBH. 1,6684.</ls> <ls n=""MBH."">6,365</ls> (<ls>VP. …",<hom>1.</hom> <s>pORqra</s> ¦ <lex>m.</lex> (<ab>fr.</ab> <s>puRqra</s>) a species of suga…,<hom>1.</hom> <s>pORqra</s> ¦ <lex>m.</lex> (<ab>fr.</ab> <s>puRqra</s>) a species of suga…,False
pU,pwg,"<ls>VS. 7,1. 21. 8,57.</ls> {#agna\ AyU^Mzi pavase#}","<ls>VS. 7,1.</ls> <ls n=""VS. 7,"">21.</ls> <ls n=""VS."">8,57.</ls> {#agna\ AyU^Mzi pavase#}","<hom>1.</hom> <s>pU</s> ¦ <ab>cl.</ab> 9. <ab>P.</ab> <ab>Ā.</ab> (<ls>Dhātup. xxxi, 12</l…","<hom>1.</hom> <s>pU</s> ¦ <ab>cl.</ab> 9. <ab>P.</ab> <ab>Ā.</ab> (<ls>Dhātup. xxxi, 12</l…",False
paRa,pw,"¯SPR.6117,","¯Spr.6117,","compact stipulation,","compact, stipulation,",False
padmaSrI,pwg,"<ls>RĀJA-TAR. 7,732. 8,3481.</ls>","<ls>RĀJA-TAR. 7,732.</ls> <ls n=""RĀJA-TAR."">8,3481.</ls>","¦ of a <s1>Bodhi-sattva</s1><info lex=""inh""/>","¦ of a <s1>Bodhisattva</s1><info lex=""inh""/>",False
pakza,pwg,"<ls>SĀH. D. 122,10. 14.</ls>","<ls>SĀH. D. 122,10.</ls> <ls n=""SĀH. D. 122,"">14.</ls>",apUryamARa,ApUryamARa,False
parigraha,pwg,"<ls>MĀRK. P. 68,10. 13. 17.</ls> {#tasmAtparigrahe BUmeryatante kurupARqavAH#}","<ls>MĀRK. P. 68,10.</ls> <ls n=""MĀRK. P. 68,"">13.</ls> <ls n=""MĀRK. P. 68,"">17.</ls> {#tas…",2 gift or present,a gift or present,False
